Display Name,User Principal Name,Monthly credit limit,Monthly credits used,User ID,Microsoft 365 Copilot license,Last activity date,Session Count,Agents and Services
Sloan Garcia,user000065@example.com,600,233,u-de7ba8088542,Yes,2025-12-22,18,Cowork
Skyler Lee,user000066@example.com,500,403,u-0c4f6d7bff4f,Yes,2025-12-12,24,Cowork; Researcher
Blake Lee,user000067@example.com,600,562,u-5a802d0e1185,Yes,2025-10-30,35,Cowork
Riley Jones,user000068@example.com,450,449,u-cbeae3a2b65a,Yes,2025-12-13,37,Cowork
Harper Wright,user000069@example.com,450,356,u-616bb4832e8b,Yes,2025-12-07,30,Cowork
Sutton Taylor,user000070@example.com,500,362,u-5964d33f861d,No,2026-01-20,20,Cowork; Work IQ; Researcher
Devon Davis,user000071@example.com,400,301,u-f2747a8c86c2,Yes,2025-12-01,25,Cowork
Phoenix Brown,user000072@example.com,500,212,u-35d60e40a5fd,Yes,2025-11-05,13,Cowork; Work IQ; Researcher
Jamie Lee,user000073@example.com,600,340,u-fe28339c4ce4,No,2025-12-09,18,Cowork
Phoenix White,user000074@example.com,450,513,u-4f8514596daf,Yes,2025-11-10,32,Cowork
Avery Moore,user000076@example.com,350,386,u-016e39f6ef36,Yes,2025-11-21,24,Cowork; Analyst; Researcher
Marlowe Moore,user000077@example.com,500,376,u-e5a83fcb9259,Yes,2026-01-23,24,Cowork; Work IQ; Researcher
Logan Smith,user000080@example.com,450,672,u-656198fee014,Yes,2025-11-22,37,Cowork; Work IQ
Logan Nguyen,user000082@example.com,500,329,u-11e6505b1bc4,Yes,2025-11-24,27,Cowork; Work IQ
Avery Taylor,user000083@example.com,450,266,u-3159406dd5e2,Yes,2025-11-20,15,Cowork; Work IQ; Researcher
Riley Jones,user000085@example.com,600,418,u-865480a63af2,Yes,2026-01-25,26,Cowork; Work IQ
Sam Miller,user000086@example.com,600,491,u-b64eb2c1318a,Yes,2025-11-14,35,Cowork
Sam Anderson,user000087@example.com,600,399,u-15ead3f8500f,Yes,2026-01-09,31,Cowork
Quinn Thomas,user000088@example.com,400,458,u-69f77e42997e,Yes,2025-12-18,24,Cowork; Analyst; Researcher
Quinn Nguyen,user000089@example.com,400,196,u-06da53b5b5fb,Yes,2025-11-08,12,Cowork
Logan Smith,user000090@example.com,400,714,u-db46fc0f37c6,Yes,2025-11-10,38,Cowork; Researcher
Sloan Hall,user000091@example.com,450,209,u-d85094960244,Yes,2025-11-01,14,Cowork
Quinn Martin,user000092@example.com,450,372,u-3935d5e18f02,No,2025-12-30,22,Cowork; Researcher
Jamie Thomas,user000094@example.com,600,702,u-864aedcd7ec1,Yes,2025-12-17,50,Cowork; Researcher
Sage Harris,user000096@example.com,350,269,u-0541d7f0275d,Yes,2025-11-12,17,Cowork; Work IQ
Marlowe Martin,user000097@example.com,450,342,u-51a49644a439,Yes,2025-12-06,23,Cowork
Sloan Miller,user000099@example.com,600,641,u-1702883dd623,Yes,2026-01-02,46,Cowork; Researcher
Blake Davis,user000100@example.com,500,500,u-fb6bc1fa5053,Yes,2025-12-13,36,Cowork; Analyst
Riley Garcia,user000101@example.com,500,333,u-0b27cb930099,Yes,2025-11-10,18,Cowork
Devon Brown,user000102@example.com,450,476,u-467b019cb7cb,Yes,2025-11-24,32,Cowork; Work IQ; Researcher
Devon King,user000103@example.com,350,618,u-6189a57b3c08,Yes,2025-11-10,36,Cowork; Researcher
Phoenix King,user000104@example.com,350,417,u-93631ebe268a,Yes,2026-01-15,30,Cowork
Ellis Harris,user000105@example.com,600,556,u-0d940ce7587a,Yes,2026-01-11,35,Cowork; Work IQ
Kendall Wright,user000106@example.com,500,764,u-6aee249a1c76,Yes,2025-12-17,40,Cowork; Work IQ
Riley Walker,user000107@example.com,600,434,u-a720c37e7f8c,Yes,2025-12-11,26,Cowork; Researcher
Kendall Hall,user000109@example.com,450,411,u-6c1099807d35,Yes,2025-11-07,24,Cowork; Analyst
Blake Williams,user000110@example.com,400,640,u-52f20ac83e8e,Yes,2026-01-11,46,Cowork; Work IQ
Devon Moore,user000113@example.com,500,228,u-24df89e1ae3c,Yes,2025-11-19,14,Cowork
Emerson Thomas,user000114@example.com,600,437,u-fb8a00143046,Yes,2025-12-22,36,Cowork
Blake Young,user000115@example.com,400,655,u-23b19b710702,Yes,2025-12-22,47,Cowork; Analyst
Phoenix Williams,user000116@example.com,600,566,u-d39ce112e243,Yes,2025-12-09,30,Cowork
Cameron White,user000118@example.com,400,564,u-94119203cdcc,Yes,2025-11-04,33,Cowork
Devon Thomas,user000121@example.com,500,591,u-1421e50b57dd,Yes,2026-01-03,35,Cowork; Analyst
Ellis Williams,user000122@example.com,600,612,u-12beef44d206,Yes,2025-11-04,41,Cowork; Work IQ; Researcher
Kendall Smith,user000123@example.com,450,245,u-77df21917840,Yes,2025-12-14,14,Cowork
Morgan Williams,user000124@example.com,450,408,u-7608b04840da,Yes,2025-11-20,29,Cowork; Analyst
Marlowe Jones,user000125@example.com,350,551,u-a562c9c77e0f,Yes,2026-01-02,42,Cowork; Researcher
Morgan Miller,user000127@example.com,350,412,u-2c0e5d497998,Yes,2025-11-21,27,Cowork
Harper Hill,user000128@example.com,500,414,u-216e4c211826,Yes,2025-11-29,34,Cowork; Researcher
Quinn Davis,user000129@example.com,450,398,u-01d72e3b1e4c,Yes,2026-01-23,23,Cowork; Work IQ
Casey Jackson,user000130@example.com,600,285,u-ff4a81e51526,Yes,2025-12-28,22,Cowork
Kendall Lopez,user000131@example.com,600,615,u-ae627f39fa73,Yes,2025-12-12,32,Cowork
Hayden Smith,user000132@example.com,600,189,u-fd5841b9a9e3,Yes,2026-01-10,12,Cowork
Kendall Moore,user000133@example.com,600,474,u-546353d6d255,Yes,2025-12-12,40,Cowork
Harper Chen,user000136@example.com,350,199,u-ea4bc6844f0f,Yes,2025-10-29,10,Cowork
Logan Allen,user000138@example.com,400,288,u-a6168ee7f70a,Yes,2025-12-27,17,Cowork; Researcher
Cameron Lopez,user000139@example.com,350,430,u-3266f6a392a3,Yes,2025-12-20,36,Cowork; Analyst; Researcher
Devon Patel,user000141@example.com,350,280,u-6fd3e603847f,No,2025-12-19,19,Cowork; Researcher
Ellis Harris,user000142@example.com,600,355,u-48571d33792e,Yes,2025-12-02,19,Cowork
Ellis Smith,user000144@example.com,450,464,u-6a543e2ef750,Yes,2026-01-11,27,Cowork; Analyst; Researcher
Sloan Brown,user000147@example.com,600,534,u-d9c5cf8d0c42,Yes,2026-01-07,33,Cowork
Cameron Jackson,user000148@example.com,400,367,u-9898cfe3808e,Yes,2025-12-12,26,Cowork; Analyst; Researcher
Drew Jones,user000149@example.com,500,195,u-bf5bddb1f6ad,Yes,2025-12-21,16,Cowork; Researcher
Cameron Wright,user000151@example.com,350,426,u-cb0fc6d48b30,Yes,2026-01-20,24,Cowork
Finley Harris,user000152@example.com,500,397,u-934ebb6af465,Yes,2026-01-13,33,Cowork
Finley Young,user000153@example.com,500,448,u-aeea9e4498fa,No,2025-12-09,32,Cowork
Logan Thompson,user000154@example.com,450,627,u-e6a59a935bd6,Yes,2025-12-03,52,Cowork
Parker Young,user000155@example.com,600,575,u-74322d757dc6,Yes,2026-01-04,38,Cowork; Work IQ
Phoenix Patel,user000156@example.com,350,61,u-a10c86e14a74,Yes,2025-10-29,4,Cowork; Analyst
Taylor Jones,user000157@example.com,450,585,u-d684104332aa,Yes,2025-11-13,31,Cowork; Analyst; Researcher
Ellis Taylor,user000158@example.com,400,422,u-7e6e03895b58,Yes,2025-12-16,22,Cowork; Analyst
Avery Lopez,user000159@example.com,350,351,u-6c9e2bf431d6,Yes,2025-11-16,21,Cowork
Emerson Chen,user000160@example.com,400,272,u-e087db8d1e83,Yes,2025-12-07,19,Cowork; Analyst; Researcher
Quinn King,user000163@example.com,450,389,u-81cf54b10e9d,Yes,2025-11-13,28,Cowork; Work IQ; Researcher
Devon Smith,user000164@example.com,600,426,u-5b2857086219,Yes,2025-11-30,30,Cowork
Drew Garcia,user000166@example.com,500,312,u-849001b037ea,Yes,2025-12-16,18,Cowork; Work IQ; Researcher
Parker Chen,user000167@example.com,350,120,u-110fb439379f,Yes,2026-01-08,7,Cowork
Morgan Wright,user000169@example.com,350,379,u-8351795e35fb,Yes,2025-12-07,21,Cowork; Analyst
Phoenix Martin,user000170@example.com,400,359,u-f5d78383fe9d,Yes,2025-11-10,28,Cowork
Drew Garcia,user000171@example.com,350,222,u-2e03e1de2da3,Yes,2026-01-22,17,Cowork
Blake Wright,user000173@example.com,600,716,u-6f5acc13e6bb,Yes,2025-11-27,42,Cowork; Work IQ
Quinn Hill,user000174@example.com,500,592,u-a82bbebbde5c,Yes,2025-12-10,42,Cowork
Marlowe Johnson,user000175@example.com,400,424,u-ba93ed5b92c5,Yes,2025-11-24,30,Cowork
Rowan Anderson,user000176@example.com,350,725,u-6c519f765247,Yes,2026-01-03,48,Cowork
Devon Johnson,user000177@example.com,450,427,u-964b0ec27a42,No,2025-12-04,30,Cowork; Work IQ
Sloan Smith,user000180@example.com,500,569,u-99c8cd9dcb99,No,2025-12-13,47,Cowork
Morgan Wright,user000181@example.com,450,507,u-3a63cc7205c1,Yes,2025-11-10,34,Cowork
Quinn Chen,user000182@example.com,350,519,u-7473b9c91a2a,Yes,2025-12-10,43,Cowork
Finley Smith,user000184@example.com,600,300,u-d9af6ae77c5f,Yes,2026-01-27,16,Cowork; Analyst
Skyler Patel,user000185@example.com,350,459,u-7cef5828d0b4,Yes,2025-11-01,38,Cowork
Finley Thomas,user000186@example.com,500,489,u-25185e7fdef5,Yes,2025-11-21,29,Cowork; Work IQ
Casey Hall,user000187@example.com,450,509,u-a5c849941ade,Yes,2025-11-02,42,Cowork; Work IQ
Kendall Lee,user000188@example.com,450,406,u-dc0e28dcc421,Yes,2025-11-01,31,Cowork
Reese Taylor,user000190@example.com,400,380,u-3ed6c9ed4835,Yes,2026-01-10,24,Cowork
Quinn Chen,user000191@example.com,600,348,u-82d01b9d8647,Yes,2026-01-04,19,Cowork; Analyst; Researcher
Jordan Jones,user000192@example.com,450,250,u-adb8b8277265,Yes,2025-11-24,16,Cowork; Researcher
Reese Allen,user000193@example.com,500,558,u-c60cd0243409,Yes,2025-10-31,29,Cowork; Work IQ; Researcher
Rowan Wright,user000194@example.com,400,217,u-6de043f6f02e,Yes,2026-01-26,14,Cowork; Researcher
Sutton Lee,user000196@example.com,450,472,u-728c674f1487,Yes,2025-12-08,25,Cowork; Work IQ; Researcher
Finley Garcia,user000197@example.com,500,243,u-77e823100e37,Yes,2026-01-27,14,Cowork
Ellis Jackson,user000198@example.com,400,536,u-13dd226fd790,Yes,2025-12-03,32,Cowork
Rowan King,user000199@example.com,500,667,u-8d447e6887ec,Yes,2026-01-27,56,Cowork
Hayden Young,user000200@example.com,350,176,u-e2a36b18023c,Yes,2025-12-08,9,Cowork; Analyst
Marlowe Moore,user000202@example.com,600,248,u-bd60d4e55b0b,Yes,2025-12-17,18,Cowork; Work IQ; Researcher
Blake Chen,user000203@example.com,450,404,u-430a51b6a394,Yes,2025-12-08,31,Cowork; Work IQ; Researcher
Casey Harris,user000204@example.com,450,240,u-de712996d74f,Yes,2025-11-18,16,Cowork
Devon Lopez,user000205@example.com,400,254,u-15a312a46b89,Yes,2025-10-30,15,Cowork
Jamie Chen,user000207@example.com,400,667,u-6166519885d6,Yes,2026-01-10,51,Cowork; Work IQ
Finley Allen,user000208@example.com,450,149,u-42c432d155ed,Yes,2025-12-26,11,Cowork; Work IQ; Researcher
Emerson Allen,user000210@example.com,400,600,u-888264fe5fe8,Yes,2025-12-11,33,Cowork
Rowan Williams,user000211@example.com,350,705,u-6355542de016,No,2025-11-20,41,Cowork; Work IQ; Researcher
Blake Chen,user000212@example.com,350,350,u-6b5f74503681,Yes,2025-12-13,27,Cowork; Analyst; Researcher
Blake Moore,user000213@example.com,350,652,u-599c232a6ac5,Yes,2025-11-03,36,Cowork; Work IQ
Sutton White,user000214@example.com,500,199,u-b6bfc39bbaf4,Yes,2026-01-10,17,Cowork; Analyst; Researcher
Marlowe Miller,user000215@example.com,450,447,u-ebe91a546ac5,Yes,2025-11-19,24,Cowork; Analyst
Rowan Davis,user000216@example.com,450,453,u-0e1a7e58aa25,Yes,2026-01-25,38,Cowork; Researcher
Parker Martin,user000217@example.com,600,208,u-aa68fbbaa827,Yes,2025-12-16,13,Cowork; Analyst
Sloan Young,user000219@example.com,500,383,u-652a461bd3c0,Yes,2025-12-04,32,Cowork; Work IQ
Harper Patel,user000220@example.com,450,420,u-4bc8d68e994b,Yes,2025-12-01,25,Cowork
Phoenix Brown,user000223@example.com,400,777,u-58ee8fba7608,No,2025-11-17,46,Cowork
Marlowe Jackson,user000224@example.com,450,658,u-15dfe783bf68,Yes,2025-11-13,47,Cowork; Analyst
Sage Chen,user000225@example.com,450,685,u-d5649d6474d2,Yes,2025-12-14,57,Cowork; Analyst; Researcher
Sutton Walker,user000226@example.com,400,676,u-8981f630236d,Yes,2025-12-02,48,Cowork; Work IQ
Jamie Walker,user000228@example.com,500,222,u-9a30717c4202,Yes,2025-11-10,18,Cowork; Work IQ
Casey King,user000229@example.com,600,256,u-b791508b0462,Yes,2025-12-30,15,Cowork; Analyst; Researcher
Harper Anderson,user000230@example.com,450,529,u-09d596e5ae16,Yes,2025-12-09,38,Cowork; Work IQ; Researcher
Phoenix Martin,user000231@example.com,350,421,u-969610243118,Yes,2025-11-11,32,Cowork; Analyst; Researcher
Harper Wilson,user000233@example.com,350,358,u-f3eb736f1ce6,Yes,2025-12-08,24,Cowork; Researcher
Ellis Patel,user000235@example.com,600,98,u-b1bb00dbb8bd,Yes,2026-01-27,6,Cowork; Researcher
Sage Wright,user000236@example.com,600,251,u-fe9920512557,Yes,2025-10-31,16,Cowork
Finley Smith,user000237@example.com,450,234,u-b431caccb51c,Yes,2026-01-13,15,Cowork; Work IQ
Kendall Brown,user000240@example.com,350,392,u-f23b9d80095e,Yes,2026-01-03,28,Cowork
Parker Thompson,user000241@example.com,500,168,u-da5e3ae5f814,Yes,2025-12-03,9,Cowork
Sutton Lee,user000242@example.com,450,330,u-4b25183ae142,Yes,2025-12-22,28,Cowork; Work IQ
Reese Allen,user000243@example.com,400,516,u-1ffabeb77422,Yes,2025-11-24,43,Cowork; Researcher
Ellis Lee,user000244@example.com,600,446,u-26bb23950186,No,2025-12-09,26,Cowork
Skyler Anderson,user000245@example.com,350,537,u-186acf89488c,Yes,2026-01-18,36,Cowork
Alex Hall,user000247@example.com,350,596,u-c14ea07cb4bf,Yes,2025-11-09,43,Cowork
Logan Wright,user000250@example.com,350,263,u-c50895ed61b7,Yes,2026-01-21,19,Cowork; Work IQ; Researcher
Kendall Thomas,user000252@example.com,500,352,u-586b55bf6c3e,Yes,2025-11-08,27,Cowork
Kendall Chen,user000253@example.com,450,272,u-0e62aa6c98b8,Yes,2025-11-30,19,Cowork; Analyst
Phoenix Anderson,user000256@example.com,450,401,u-1dc81fbb3832,Yes,2025-12-27,31,Cowork; Work IQ
Reese Brown,user000257@example.com,500,343,u-e57e04e8a3a4,Yes,2026-01-21,23,Cowork; Work IQ; Researcher
Devon Chen,user000258@example.com,400,158,u-75b3b80c8070,Yes,2025-12-15,12,Cowork; Analyst; Researcher
Finley Wright,user000259@example.com,500,318,u-11b8649982b1,Yes,2025-12-31,24,Cowork; Analyst
Jamie Garcia,user000263@example.com,600,558,u-38922ed4f1ce,Yes,2025-12-31,35,Cowork; Work IQ
Sloan Hill,user000264@example.com,350,503,u-33049d12fd44,Yes,2025-12-15,36,Cowork
Casey Jones,user000266@example.com,500,467,u-a9cc82195e0d,Yes,2025-11-01,26,Cowork; Work IQ
Cameron Thomas,user000267@example.com,600,479,u-72693355d63f,Yes,2025-12-24,37,Cowork; Researcher
Sutton King,user000268@example.com,450,851,u-aa82239d0ba9,Yes,2025-12-29,65,Cowork; Analyst; Researcher
Morgan Chen,user000269@example.com,350,756,u-27f0cb20a657,Yes,2026-01-20,54,Cowork
Sutton Brown,user000270@example.com,450,570,u-3eb3fa4fc57c,Yes,2025-12-19,48,Cowork; Analyst; Researcher
Finley Thompson,user000271@example.com,400,543,u-a659bb68b159,Yes,2025-12-25,39,Cowork; Analyst
Quinn King,user000273@example.com,500,194,u-7a5c03b8b040,Yes,2025-12-18,12,Cowork; Researcher
Devon Nguyen,user000274@example.com,450,370,u-b22e94d2aa2d,Yes,2026-01-20,31,Cowork; Work IQ
Harper Smith,user000275@example.com,400,540,u-1e4ad2076e21,Yes,2025-12-04,36,Cowork; Analyst; Researcher
Jamie Jackson,user000276@example.com,600,241,u-aaec8fb74cc1,Yes,2025-10-29,17,Cowork; Analyst
Emerson Wilson,user000278@example.com,500,633,u-7ae280f779e2,Yes,2025-12-23,45,Cowork
Quinn Martin,user000279@example.com,350,172,u-b6fcf9d3d647,Yes,2026-01-22,14,Cowork; Researcher
Sloan Hill,user000280@example.com,400,77,u-ce791d7e91e4,Yes,2026-01-20,4,Cowork; Researcher
Alex Moore,user000283@example.com,450,548,u-3c4c7cc5b9d4,Yes,2026-01-16,29,Cowork; Work IQ
Sutton Hill,user000284@example.com,450,388,u-89ca7f362de2,Yes,2025-12-19,26,Cowork
Riley Miller,user000285@example.com,400,564,u-898ddfe1436b,Yes,2025-12-31,33,Cowork; Analyst; Researcher
Quinn Wright,user000286@example.com,350,457,u-d8ffc7105d62,Yes,2025-12-22,24,Cowork; Analyst; Researcher
Taylor Allen,user000287@example.com,450,633,u-12ac171e970a,Yes,2026-01-06,42,Cowork; Work IQ; Researcher
Finley Brown,user000288@example.com,600,740,u-f17e41828cb4,Yes,2025-10-29,41,Cowork; Researcher
Sutton Johnson,user000290@example.com,450,416,u-1dca19d42e38,Yes,2025-11-28,23,Cowork; Researcher
Taylor Walker,user000292@example.com,600,473,u-8a003aad4721,Yes,2025-11-11,32,Cowork; Analyst; Researcher
Rowan Davis,user000293@example.com,500,122,u-94eae93788e0,Yes,2026-01-19,9,Cowork
Ellis Wilson,user000296@example.com,350,688,u-85412ce18564,Yes,2025-11-22,38,Cowork
Avery Smith,user000297@example.com,350,593,u-f9497ea38d09,Yes,2026-01-26,42,Cowork; Analyst
Blake Allen,user000298@example.com,500,705,u-415563cded43,Yes,2025-11-10,44,Cowork; Analyst; Researcher
Morgan Young,user000299@example.com,450,752,u-8ee20ab45769,Yes,2025-11-04,42,Cowork
Jordan Nguyen,user000300@example.com,350,225,u-1e29b670f804,Yes,2025-11-06,12,Cowork; Work IQ
Reese Wright,user000302@example.com,350,321,u-4d20c88e8ae5,Yes,2025-12-16,19,Cowork; Work IQ
Drew White,user000303@example.com,350,535,u-ee0015d8c928,Yes,2025-11-21,41,Cowork; Analyst; Researcher
Ellis Lee,user000305@example.com,350,488,u-6d4ff9c85f37,Yes,2025-11-06,30,Cowork; Analyst; Researcher
Riley Patel,user000306@example.com,500,618,u-42b3feab0500,Yes,2025-11-30,52,Cowork; Work IQ
Logan Walker,user000307@example.com,400,669,u-56e69aa319dc,Yes,2025-11-16,35,Cowork; Analyst; Researcher
Devon Allen,user000311@example.com,450,363,u-65ec8004d4c0,Yes,2025-12-04,30,Cowork; Analyst
Drew Taylor,user000312@example.com,450,331,u-925a253610a7,Yes,2025-12-03,21,Cowork
Sloan Martin,user000315@example.com,450,357,u-933adb3344c4,Yes,2026-01-24,21,Cowork; Work IQ
Sage Thomas,user000316@example.com,450,588,u-c6975dd62059,Yes,2026-01-24,35,Cowork
Drew Allen,user000321@example.com,350,412,u-d3ed599c0ba0,Yes,2025-10-31,29,Cowork; Work IQ; Researcher
Marlowe Moore,user000322@example.com,600,161,u-4cfeaa48c7b0,Yes,2025-11-06,8,Cowork
Skyler Thompson,user000326@example.com,400,354,u-143fd6017105,Yes,2025-12-02,22,Cowork; Work IQ
Kendall Young,user000328@example.com,500,485,u-dd7c82da5090,Yes,2025-12-27,29,Cowork; Researcher
Drew Patel,user000329@example.com,500,379,u-b5f1b45d9b0d,Yes,2025-12-20,29,Cowork
Sam Davis,user000330@example.com,500,185,u-44444b6340f5,Yes,2026-01-20,10,Cowork; Analyst
Jordan Harris,user000334@example.com,400,739,u-fc05ba301c51,Yes,2025-12-19,46,Cowork; Analyst; Researcher
Hayden Thomas,user000335@example.com,400,257,u-9d3e0789cc78,Yes,2025-12-09,14,Cowork; Work IQ; Researcher
Parker Hall,user000337@example.com,600,357,u-374152641bd2,Yes,2025-11-14,24,Cowork; Work IQ
Cameron Young,user000339@example.com,350,385,u-443c726bb88b,Yes,2026-01-04,28,Cowork; Analyst; Researcher
Sloan Allen,user000341@example.com,450,580,u-2173b70a77dd,Yes,2026-01-17,48,Cowork; Analyst; Researcher
Reese Lee,user000343@example.com,500,504,u-b98522577a37,Yes,2026-01-24,27,Cowork; Work IQ
Sloan Nguyen,user000344@example.com,500,420,u-dc6cd51daaa8,Yes,2025-11-15,30,Cowork; Analyst
Marlowe Smith,user000346@example.com,500,386,u-64e9b68ed70d,Yes,2025-10-30,20,Cowork; Analyst; Researcher
Taylor Garcia,user000348@example.com,400,300,u-75115372b147,Yes,2026-01-21,21,Cowork; Analyst; Researcher
Jordan Davis,user000350@example.com,350,704,u-a30f9efe2f77,Yes,2025-11-17,39,Cowork; Work IQ; Researcher
Emerson Smith,user000351@example.com,500,346,u-1717c88b9532,Yes,2025-12-15,18,Cowork; Analyst
Casey Johnson,user000353@example.com,500,608,u-e65bd879e19d,Yes,2025-11-16,51,Cowork; Researcher
Taylor Moore,user000354@example.com,600,197,u-41fb6bb8df02,Yes,2025-12-31,13,Cowork; Researcher
Sage Harris,user000355@example.com,600,269,u-2ba6c75abaf9,No,2026-01-07,14,Cowork; Analyst
Skyler Thompson,user000356@example.com,400,362,u-65303404e760,Yes,2025-11-18,30,Cowork
Logan Hill,user000357@example.com,600,300,u-d8dbfb6df635,Yes,2025-11-09,21,Cowork; Researcher
Reese Hill,user000360@example.com,500,672,u-9164339531d8,Yes,2026-01-21,48,Cowork; Work IQ; Researcher
Drew Taylor,user000362@example.com,400,225,u-6ee7626df037,Yes,2025-12-31,15,Cowork; Analyst; Researcher
Morgan Anderson,user000363@example.com,400,460,u-4349f4757420,Yes,2025-11-17,24,Cowork
Hayden Martin,user000365@example.com,600,778,u-c510941cc02c,Yes,2025-12-21,43,Cowork
Cameron White,user000366@example.com,450,201,u-c90a19bf9b48,Yes,2026-01-17,11,Cowork; Analyst
Jamie Williams,user000367@example.com,500,455,u-0f451bd1edc9,Yes,2025-12-02,35,Cowork; Researcher
