userPrincipalName,displayName,department,jobTitle,jobFamily,city,country,costCenter,manager,businessUnit,companyName
horatiohawthorne@example.com,"Hawthorne, Horatio D",IT Service Desk,Desktop Admin,Engineering & IT,Bengaluru,IN,CC-ITSD-8744,it.mgr03@example.com,Technology,Contoso Ltd
seraphinasinclair@example.com,"Sinclair, Seraphina S",Clinical Operations,Care Coordinator,Clinical & Care,"Minnetonka, MN",US,CC-CLIN-6351,clinical.mgr01@example.com,Health Services,Contoso Ltd
casimirwollstonecraft@example.com,"Wollstonecraft, Casimir B",Human Resources,Comp Analyst,Corporate (HR/Legal/Mktg),"Hartford, CT",US,CC-HRXX-9770,human.mgr02@example.com,Corporate Functions,Contoso Ltd
ferdinandjessamine@example.com,"Jessamine, Ferdinand G",Legal & Compliance,Compliance Analyst,Corporate (HR/Legal/Mktg),"Minnetonka, MN",US,CC-LEGL-2668,legal.mgr02@example.com,Corporate Functions,Contoso Ltd
octavianprendergast@example.com,"Prendergast, Octavian S",Network Management,Provider Relations,Member & Customer Support,"Phoenix, AZ",US,CC-NTWK-9430,network.mgr03@example.com,Health Services,Contoso Ltd
peregrineyelverton@example.com,"Yelverton, Peregrine A",Clinical Operations,Care Coordinator,Clinical & Care,"Minnetonka, MN",US,CC-CLIN-6351,clinical.mgr02@example.com,Health Services,Contoso Ltd
evangelineeverhart@example.com,"Everhart, Evangeline P",Engineering,SRE,Engineering & IT,"Atlanta, GA",US,CC-ENGR-9639,engineering.mgr02@example.com,Technology,Contoso Ltd
bartholomewvoskuijlen@example.com,"Voskuijlen, Bartholomew E",Sales (Employer Group),Sales Engineer,Sales & Accounts,"Minnetonka, MN",US,CC-SLES-1836,sales.mgr03@example.com,Corporate Functions,Contoso Ltd
beatrixmowbray@example.com,"Mowbray, Beatrix W",Legal & Compliance,Privacy Officer,Corporate (HR/Legal/Mktg),"Nashville, TN",US,CC-LEGL-2668,legal.mgr02@example.com,Corporate Functions,Contoso Ltd
odalysharrington2@example.com,"Harrington, Odalys P",Engineering,Eng Manager,Management & Leadership,Hyderabad,IN,CC-ENGR-3318,engineering.mgr02@example.com,Technology,Contoso Ltd
ambroseockendon@example.com,"Ockendon, Ambrose S",Actuarial & Underwriting,Underwriter,Finance & Actuarial,"Hartford, CT",US,CC-ACTR-9631,actuarial.mgr03@example.com,Insurance Operations,Contoso Ltd
georgianalocksley@example.com,"Locksley, Georgiana K",Finance,FP&A Manager,Finance & Actuarial,"Atlanta, GA",US,CC-FINX-3369,finance.mgr03@example.com,Corporate Functions,Contoso Ltd
fitzgeraldgodfrey@example.com,"Godfrey, Fitzgerald T",Data & Analytics,BI Engineer,Data & Analytics,"Hartford, CT",US,CC-DATA-9141,data.mgr01@example.com,Technology,Contoso Ltd
fitzgeraldcadwallader@example.com,"Cadwallader, Fitzgerald F",Data & Analytics,ML Engineer,Data & Analytics,"Minnetonka, MN",US,CC-DATA-9141,data.mgr03@example.com,Technology,Contoso Ltd
ignatiuscholmondeley@example.com,"Cholmondeley, Ignatius J",Claims Processing,Claims Auditor,Claims & Operations,Manila,PH,CC-CLMS-9685,claims.mgr01@example.com,Insurance Operations,Contoso Ltd
solveiggrimsby@example.com,"Grimsby, Solveig L",Engineering,Platform Engineer,Engineering & IT,Dublin,IE,CC-ENGR-9674,engineering.mgr02@example.com,Technology,Contoso Ltd
leopoldlocksley@example.com,"Locksley, Leopold P",Claims Processing,Claims Examiner,Claims & Operations,Manila,PH,CC-CLMS-9685,claims.mgr01@example.com,Insurance Operations,Contoso Ltd
octavianellsworth@example.com,"Ellsworth, Octavian E",Member Services,Quality Analyst,Member & Customer Support,"Atlanta, GA",US,CC-MBRS-1678,member.mgr01@example.com,Health Services,Contoso Ltd
ignatiusnorthcote@example.com,"Northcote, Ignatius C",Claims Processing,Claims Auditor,Claims & Operations,"Atlanta, GA",US,CC-CLMS-8440,claims.mgr03@example.com,Insurance Operations,Contoso Ltd
reginaldvandersloot@example.com,"Vandersloot, Reginald E",Member Services,CSR,Member & Customer Support,Manila,PH,CC-MBRS-8205,member.mgr03@example.com,Health Services,Contoso Ltd
everardnethercott@example.com,"Nethercott, Everard C",Member Services,CSR,Member & Customer Support,"Hartford, CT",US,CC-MBRS-1678,member.mgr01@example.com,Health Services,Contoso Ltd
viviennerutherford@example.com,"Rutherford, Vivienne E",Clinical Operations,Clinical Analyst,Clinical & Care,"Minnetonka, MN",US,CC-CLIN-6351,clinical.mgr02@example.com,Health Services,Contoso Ltd
peregrineainsworth@example.com,"Ainsworth, Peregrine H",Clinical Operations,Clinical Analyst,Clinical & Care,Dublin,IE,CC-CLIN-6316,clinical.mgr03@example.com,Health Services,Contoso Ltd
bexleykettering@example.com,"Kettering, Bexley F",Claims Processing,Claims Auditor,Claims & Operations,Bengaluru,IN,CC-CLMS-5672,claims.mgr02@example.com,Insurance Operations,Contoso Ltd
alaricbraithwaite@example.com,"Braithwaite, Alaric G",Marketing,Marketing Manager,Corporate (HR/Legal/Mktg),"Minnetonka, MN",US,CC-MKTG-7836,marketing.mgr01@example.com,Corporate Functions,Contoso Ltd
antheakensington@example.com,"Kensington, Anthea B",Clinical Operations,Clinical Analyst,Clinical & Care,"Phoenix, AZ",US,CC-CLIN-6351,clinical.mgr02@example.com,Health Services,Contoso Ltd
everardnethercott2@example.com,"Nethercott, Everard S",Engineering,Platform Engineer,Engineering & IT,Dublin,IE,CC-ENGR-9674,engineering.mgr03@example.com,Technology,Contoso Ltd
calanthesatterthwaite@example.com,"Satterthwaite, Calanthe W",Clinical Operations,RN Care Manager,Clinical & Care,"Nashville, TN",US,CC-CLIN-6351,clinical.mgr01@example.com,Health Services,Contoso Ltd
seraphinavoskuijlen@example.com,"Voskuijlen, Seraphina F",Member Services,CSR,Member & Customer Support,"Nashville, TN",US,CC-MBRS-1678,member.mgr02@example.com,Health Services,Contoso Ltd
zephyrineblackwood@example.com,"Blackwood, Zephyrine P",Engineering,Software Engineer,Engineering & IT,"Nashville, TN",US,CC-ENGR-9639,engineering.mgr01@example.com,Technology,Contoso Ltd
margueritekettering@example.com,"Kettering, Marguerite C",Data & Analytics,Data Scientist,Data & Analytics,"Hartford, CT",US,CC-DATA-9141,data.mgr02@example.com,Technology,Contoso Ltd
zinniazabrowski@example.com,"Zabrowski, Zinnia A",Claims Processing,Recovery Specialist,Claims & Operations,"Hartford, CT",US,CC-CLMS-8440,claims.mgr01@example.com,Insurance Operations,Contoso Ltd
bartholomewcholmondeley@example.com,"Cholmondeley, Bartholomew K",Member Services,Escalations Lead,Member & Customer Support,Manila,PH,CC-MBRS-8205,member.mgr01@example.com,Health Services,Contoso Ltd
raffertyfairbanks@example.com,"Fairbanks, Rafferty G",Claims Processing,Claims Examiner,Claims & Operations,"Nashville, TN",US,CC-CLMS-8440,claims.mgr03@example.com,Insurance Operations,Contoso Ltd
delphineillingworth@example.com,"Illingworth, Delphine E",IT Service Desk,Tier 2 Tech,Engineering & IT,"Hartford, CT",US,CC-ITSD-5368,it.mgr01@example.com,Technology,Contoso Ltd
barnabyhawthorne@example.com,"Hawthorne, Barnaby D",Member Services,CSR,Member & Customer Support,Hyderabad,IN,CC-MBRS-3434,member.mgr01@example.com,Health Services,Contoso Ltd
thaddeusduckworth@example.com,"Duckworth, Thaddeus L",Member Services,Quality Analyst,Member & Customer Support,"Atlanta, GA",US,CC-MBRS-1678,member.mgr03@example.com,Health Services,Contoso Ltd
cosimavoskuijlen@example.com,"Voskuijlen, Cosima H",Member Services,CSR,Member & Customer Support,"Atlanta, GA",US,CC-MBRS-1678,member.mgr01@example.com,Health Services,Contoso Ltd
lysanderdunmore@example.com,"Dunmore, Lysander C",Government Programs,Medicaid Liaison,Claims & Operations,"Atlanta, GA",US,CC-GOVT-6906,government.mgr03@example.com,Insurance Operations,Contoso Ltd
corneliusivorson@example.com,"Ivorson, Cornelius D",Finance,FP&A Manager,Finance & Actuarial,"Nashville, TN",US,CC-FINX-3369,finance.mgr03@example.com,Corporate Functions,Contoso Ltd
ulyssavillanueva@example.com,"Villanueva, Ulyssa T",IT Service Desk,Desktop Admin,Engineering & IT,"Hartford, CT",US,CC-ITSD-5368,it.mgr01@example.com,Technology,Contoso Ltd
millicentmerriweather@example.com,"Merriweather, Millicent B",Actuarial & Underwriting,Underwriter,Finance & Actuarial,"Nashville, TN",US,CC-ACTR-9631,actuarial.mgr01@example.com,Insurance Operations,Contoso Ltd
percykirkpatrick@example.com,"Kirkpatrick, Percy M",Claims Processing,Claims Auditor,Claims & Operations,"Minnetonka, MN",US,CC-CLMS-8440,claims.mgr01@example.com,Insurance Operations,Contoso Ltd
dashiellyelverton@example.com,"Yelverton, Dashiell H",Network Management,Contract Negotiator,Sales & Accounts,"Hartford, CT",US,CC-NTWK-9430,network.mgr03@example.com,Health Services,Contoso Ltd
xanthewexford@example.com,"Wexford, Xanthe D",Member Services,Escalations Lead,Member & Customer Support,Hyderabad,IN,CC-MBRS-3434,member.mgr02@example.com,Health Services,Contoso Ltd
arabellafairweather@example.com,"Fairweather, Arabella B",Finance,Accountant,Finance & Actuarial,"Phoenix, AZ",US,CC-FINX-3369,finance.mgr03@example.com,Corporate Functions,Contoso Ltd
ottolinequartermaine@example.com,"Quartermaine, Ottoline W",Data & Analytics,Data Analyst,Data & Analytics,Bengaluru,IN,CC-DATA-2363,data.mgr03@example.com,Technology,Contoso Ltd
wilhelminathornbury@example.com,"Thornbury, Wilhelmina L",Product Management,Sr PM,Product & Program,"Phoenix, AZ",US,CC-PROD-5415,product.mgr03@example.com,Technology,Contoso Ltd
ottiliewetherby@example.com,"Wetherby, Ottilie F",IT Service Desk,Desktop Admin,Engineering & IT,Manila,PH,CC-ITSD-8003,it.mgr01@example.com,Technology,Contoso Ltd
bartholomewyardley@example.com,"Yardley, Bartholomew G",Data & Analytics,Data Scientist,Data & Analytics,Hyderabad,IN,CC-DATA-2363,data.mgr03@example.com,Technology,Contoso Ltd
cordelialocksley@example.com,"Locksley, Cordelia G",Member Services,Escalations Lead,Member & Customer Support,"Phoenix, AZ",US,CC-MBRS-1678,member.mgr03@example.com,Health Services,Contoso Ltd
wilhelminafotheringham@example.com,"Fotheringham, Wilhelmina N",Member Services,Quality Analyst,Member & Customer Support,"Minnetonka, MN",US,CC-MBRS-1678,member.mgr01@example.com,Health Services,Contoso Ltd
calanthebletchley@example.com,"Bletchley, Calanthe B",Engineering,Software Engineer,Engineering & IT,Hyderabad,IN,CC-ENGR-3318,engineering.mgr01@example.com,Technology,Contoso Ltd
silvanusashworth@example.com,"Ashworth, Silvanus M",Clinical Operations,RN Care Manager,Clinical & Care,"Nashville, TN",US,CC-CLIN-6351,clinical.mgr02@example.com,Health Services,Contoso Ltd
georgianaedgecombe@example.com,"Edgecombe, Georgiana D",Government Programs,Medicare Analyst,Claims & Operations,"Phoenix, AZ",US,CC-GOVT-6906,government.mgr01@example.com,Insurance Operations,Contoso Ltd
persephonejessamine@example.com,"Jessamine, Persephone L",Claims Processing,Recovery Specialist,Claims & Operations,Hyderabad,IN,CC-CLMS-5672,claims.mgr03@example.com,Insurance Operations,Contoso Ltd
antigoneainsworth@example.com,"Ainsworth, Antigone P",Member Services,CSR,Member & Customer Support,Manila,PH,CC-MBRS-8205,member.mgr03@example.com,Health Services,Contoso Ltd
genevieveabernathy@example.com,"Abernathy, Genevieve J",Clinical Operations,Clinical Analyst,Clinical & Care,"Phoenix, AZ",US,CC-CLIN-6351,clinical.mgr02@example.com,Health Services,Contoso Ltd
bartholomewmarchetti@example.com,"Marchetti, Bartholomew E",Claims Processing,Recovery Specialist,Claims & Operations,"Minnetonka, MN",US,CC-CLMS-8440,claims.mgr02@example.com,Insurance Operations,Contoso Ltd
bramwellquigley@example.com,"Quigley, Bramwell P",Pharmacy Benefits,Formulary Specialist,Clinical & Care,"Hartford, CT",US,CC-RXBM-7797,pharmacy.mgr01@example.com,Health Services,Contoso Ltd
silvanusuxbridge@example.com,"Uxbridge, Silvanus S",Product Management,PM,Product & Program,"Nashville, TN",US,CC-PROD-5415,product.mgr03@example.com,Technology,Contoso Ltd
arabellakirkpatrick@example.com,"Kirkpatrick, Arabella E",Member Services,Quality Analyst,Member & Customer Support,"Hartford, CT",US,CC-MBRS-1678,member.mgr02@example.com,Health Services,Contoso Ltd
torstenattenborough@example.com,"Attenborough, Torsten C",Engineering,Eng Manager,Management & Leadership,"Phoenix, AZ",US,CC-ENGR-9639,engineering.mgr03@example.com,Technology,Contoso Ltd
georgianaquigley@example.com,"Quigley, Georgiana T",Engineering,Eng Manager,Management & Leadership,Dublin,IE,CC-ENGR-9674,engineering.mgr02@example.com,Technology,Contoso Ltd
veritymarchetti2@example.com,"Marchetti, Verity G",Engineering,SRE,Engineering & IT,"Atlanta, GA",US,CC-ENGR-9639,engineering.mgr02@example.com,Technology,Contoso Ltd
henriettapennington@example.com,"Pennington, Henrietta M",Clinical Operations,RN Care Manager,Clinical & Care,"Nashville, TN",US,CC-CLIN-6351,clinical.mgr03@example.com,Health Services,Contoso Ltd
genevievecrenshaw@example.com,"Crenshaw, Genevieve N",Pharmacy Benefits,Pharmacy Tech,Clinical & Care,"Atlanta, GA",US,CC-RXBM-7797,pharmacy.mgr02@example.com,Health Services,Contoso Ltd
percivalmarchetti@example.com,"Marchetti, Percival J",Member Services,Quality Analyst,Member & Customer Support,"Atlanta, GA",US,CC-MBRS-1678,member.mgr01@example.com,Health Services,Contoso Ltd
evangelinefotheringham2@example.com,"Fotheringham, Evangeline S",Engineering,Eng Manager,Management & Leadership,"Hartford, CT",US,CC-ENGR-9639,engineering.mgr01@example.com,Technology,Contoso Ltd
corwinquigley@example.com,"Quigley, Corwin F",Member Services,Escalations Lead,Member & Customer Support,"Atlanta, GA",US,CC-MBRS-1678,member.mgr01@example.com,Health Services,Contoso Ltd
nikolaiillingworth@example.com,"Illingworth, Nikolai S",Clinical Operations,Care Coordinator,Clinical & Care,"Phoenix, AZ",US,CC-CLIN-6351,clinical.mgr01@example.com,Health Services,Contoso Ltd
antigonekirkpatrick@example.com,"Kirkpatrick, Antigone B",Member Services,Escalations Lead,Member & Customer Support,"Minnetonka, MN",US,CC-MBRS-1678,member.mgr03@example.com,Health Services,Contoso Ltd
cosimakirkpatrick@example.com,"Kirkpatrick, Cosima B",Clinical Operations,Clinical Analyst,Clinical & Care,"Minnetonka, MN",US,CC-CLIN-6351,clinical.mgr01@example.com,Health Services,Contoso Ltd
corwindarlington@example.com,"Darlington, Corwin B",Claims Processing,Recovery Specialist,Claims & Operations,Manila,PH,CC-CLMS-9685,claims.mgr03@example.com,Insurance Operations,Contoso Ltd
zinniaziegler@example.com,"Ziegler, Zinnia A",IT Service Desk,Tier 2 Tech,Engineering & IT,"Phoenix, AZ",US,CC-ITSD-5368,it.mgr02@example.com,Technology,Contoso Ltd
antigonekensington@example.com,"Kensington, Antigone T",Clinical Operations,Care Coordinator,Clinical & Care,"Hartford, CT",US,CC-CLIN-6351,clinical.mgr03@example.com,Health Services,Contoso Ltd
ottiliegalbraith@example.com,"Galbraith, Ottilie G",IT Service Desk,Tier 1 Tech,Engineering & IT,Manila,PH,CC-ITSD-8003,it.mgr01@example.com,Technology,Contoso Ltd
fitzgeraldockendon@example.com,"Ockendon, Fitzgerald C",Finance,Financial Analyst,Finance & Actuarial,"Minnetonka, MN",US,CC-FINX-3369,finance.mgr01@example.com,Corporate Functions,Contoso Ltd
odalysziegler@example.com,"Ziegler, Odalys H",Clinical Operations,Clinical Analyst,Clinical & Care,"Phoenix, AZ",US,CC-CLIN-6351,clinical.mgr03@example.com,Health Services,Contoso Ltd
nikolaipennington@example.com,"Pennington, Nikolai G",Marketing,Content Strategist,Corporate (HR/Legal/Mktg),"Hartford, CT",US,CC-MKTG-7836,marketing.mgr02@example.com,Corporate Functions,Contoso Ltd
ottilievoskuijlen@example.com,"Voskuijlen, Ottilie E",Claims Processing,Claims Auditor,Claims & Operations,"Nashville, TN",US,CC-CLMS-8440,claims.mgr01@example.com,Insurance Operations,Contoso Ltd
persephonethornbury2@example.com,"Thornbury, Persephone P",Legal & Compliance,Compliance Analyst,Corporate (HR/Legal/Mktg),"Nashville, TN",US,CC-LEGL-2668,legal.mgr02@example.com,Corporate Functions,Contoso Ltd
leopoldsatterthwaite@example.com,"Satterthwaite, Leopold C",Member Services,CSR,Member & Customer Support,"Atlanta, GA",US,CC-MBRS-1678,member.mgr03@example.com,Health Services,Contoso Ltd
percivalharrington@example.com,"Harrington, Percival M",Marketing,Marketing Manager,Corporate (HR/Legal/Mktg),"Phoenix, AZ",US,CC-MKTG-7836,marketing.mgr01@example.com,Corporate Functions,Contoso Ltd
ottiliecadwallader@example.com,"Cadwallader, Ottilie F",Marketing,Content Strategist,Corporate (HR/Legal/Mktg),"Phoenix, AZ",US,CC-MKTG-7836,marketing.mgr03@example.com,Corporate Functions,Contoso Ltd
margueritejorgensen@example.com,"Jorgensen, Marguerite G",Claims Processing,Recovery Specialist,Claims & Operations,"Phoenix, AZ",US,CC-CLMS-8440,claims.mgr01@example.com,Insurance Operations,Contoso Ltd
lachlangalbraith@example.com,"Galbraith, Lachlan P",Member Services,Escalations Lead,Member & Customer Support,Manila,PH,CC-MBRS-8205,member.mgr02@example.com,Health Services,Contoso Ltd
beatrixhawthorne@example.com,"Hawthorne, Beatrix G",Engineering,Eng Manager,Management & Leadership,Dublin,IE,CC-ENGR-9674,engineering.mgr01@example.com,Technology,Contoso Ltd
antigoneduckworth@example.com,"Duckworth, Antigone A",Clinical Operations,RN Care Manager,Clinical & Care,"Atlanta, GA",US,CC-CLIN-6351,clinical.mgr03@example.com,Health Services,Contoso Ltd
percivalthornbury@example.com,"Thornbury, Percival H",Finance,Financial Analyst,Finance & Actuarial,"Minnetonka, MN",US,CC-FINX-3369,finance.mgr03@example.com,Corporate Functions,Contoso Ltd
silvanuswetherby@example.com,"Wetherby, Silvanus L",Legal & Compliance,Privacy Officer,Corporate (HR/Legal/Mktg),"Nashville, TN",US,CC-LEGL-2668,legal.mgr01@example.com,Corporate Functions,Contoso Ltd
arabellapennington@example.com,"Pennington, Arabella D",Clinical Operations,Care Coordinator,Clinical & Care,Dublin,IE,CC-CLIN-6316,clinical.mgr03@example.com,Health Services,Contoso Ltd
barnabyunderhill@example.com,"Underhill, Barnaby C",IT Service Desk,Desktop Admin,Engineering & IT,"Nashville, TN",US,CC-ITSD-5368,it.mgr01@example.com,Technology,Contoso Ltd
beatrixoxenford@example.com,"Oxenford, Beatrix E",Pharmacy Benefits,PBM Analyst,Clinical & Care,"Atlanta, GA",US,CC-RXBM-7797,pharmacy.mgr01@example.com,Health Services,Contoso Ltd
wilhelmthornbury@example.com,"Thornbury, Wilhelm P",Engineering,Eng Manager,Management & Leadership,"Nashville, TN",US,CC-ENGR-9639,engineering.mgr03@example.com,Technology,Contoso Ltd
theodoradunmore@example.com,"Dunmore, Theodora D",Member Services,Escalations Lead,Member & Customer Support,"Minnetonka, MN",US,CC-MBRS-1678,member.mgr03@example.com,Health Services,Contoso Ltd
lachlanainsworth@example.com,"Ainsworth, Lachlan E",Claims Processing,Claims Auditor,Claims & Operations,"Phoenix, AZ",US,CC-CLMS-8440,claims.mgr01@example.com,Insurance Operations,Contoso Ltd
ulyssavandersloot@example.com,"Vandersloot, Ulyssa H",Engineering,Platform Engineer,Engineering & IT,Hyderabad,IN,CC-ENGR-3318,engineering.mgr01@example.com,Technology,Contoso Ltd
cassianpembrooke@example.com,"Pembrooke, Cassian T",Human Resources,Comp Analyst,Corporate (HR/Legal/Mktg),"Nashville, TN",US,CC-HRXX-9770,human.mgr03@example.com,Corporate Functions,Contoso Ltd
casimirellsworth@example.com,"Ellsworth, Casimir L",Product Management,PM,Product & Program,"Phoenix, AZ",US,CC-PROD-5415,product.mgr01@example.com,Technology,Contoso Ltd
endellionivorson@example.com,"Ivorson, Endellion L",Pharmacy Benefits,Pharmacy Tech,Clinical & Care,"Phoenix, AZ",US,CC-RXBM-7797,pharmacy.mgr03@example.com,Health Services,Contoso Ltd
percygodfrey@example.com,"Godfrey, Percy R",Engineering,SRE,Engineering & IT,Bengaluru,IN,CC-ENGR-3318,engineering.mgr02@example.com,Technology,Contoso Ltd
zinniakettering2@example.com,"Kettering, Zinnia S",Finance,Accountant,Finance & Actuarial,"Nashville, TN",US,CC-FINX-3369,finance.mgr01@example.com,Corporate Functions,Contoso Ltd
wendelinebraithwaite@example.com,"Braithwaite, Wendeline K",Government Programs,Medicare Analyst,Claims & Operations,"Atlanta, GA",US,CC-GOVT-6906,government.mgr02@example.com,Insurance Operations,Contoso Ltd
alaricgalbraith@example.com,"Galbraith, Alaric R",Clinical Operations,RN Care Manager,Clinical & Care,"Atlanta, GA",US,CC-CLIN-6351,clinical.mgr03@example.com,Health Services,Contoso Ltd
cosimazabrowski2@example.com,"Zabrowski, Cosima J",IT Service Desk,Tier 1 Tech,Engineering & IT,"Nashville, TN",US,CC-ITSD-5368,it.mgr03@example.com,Technology,Contoso Ltd
beatrixockendon@example.com,"Ockendon, Beatrix F",Engineering,Platform Engineer,Engineering & IT,Dublin,IE,CC-ENGR-9674,engineering.mgr01@example.com,Technology,Contoso Ltd
xantheashworth@example.com,"Ashworth, Xanthe M",IT Service Desk,Tier 2 Tech,Engineering & IT,"Hartford, CT",US,CC-ITSD-5368,it.mgr01@example.com,Technology,Contoso Ltd
corneliuskirkpatrick@example.com,"Kirkpatrick, Cornelius H",Government Programs,Policy Analyst,Claims & Operations,"Nashville, TN",US,CC-GOVT-6906,government.mgr03@example.com,Insurance Operations,Contoso Ltd
ignatiuspennington@example.com,"Pennington, Ignatius C",Data & Analytics,BI Engineer,Data & Analytics,"Atlanta, GA",US,CC-DATA-9141,data.mgr01@example.com,Technology,Contoso Ltd
beatrixwetherby@example.com,"Wetherby, Beatrix H",Human Resources,Recruiter,Corporate (HR/Legal/Mktg),"Phoenix, AZ",US,CC-HRXX-9770,human.mgr02@example.com,Corporate Functions,Contoso Ltd
cordeliaedgecombe@example.com,"Edgecombe, Cordelia L",Clinical Operations,Clinical Analyst,Clinical & Care,"Hartford, CT",US,CC-CLIN-6351,clinical.mgr03@example.com,Health Services,Contoso Ltd
